Timestamp,Label,PixelRadius,PixelX,PixelY,DistanceMm
2026-08-14 11:32:41,origin,119,52,-76,20.71093
2026-08-14 11:34:11,origin,117,-84,-32,22.44372
2026-08-14 11:51:16,origin,120,-80,-24,19.86592
2026-08-14 11:53:28,origin,279.5256,-2,30,-38.58524
2026-08-14 11:53:31,origin,279.4856,-2,30,-38.57868
2026-08-14 13:15:10,max_distance,0.1,240,320,118978.2
2026-08-14 13:16:01,max_distance,36.34,81,30,249.2103
2026-08-14 14:39:31,origin,119,32,-22,20.71093
2026-08-14 14:40:19,origin,124,28,-46,16.6203
2026-08-14 14:40:32,origin,114,38,-38,25.15539
2026-08-14 14:40:53,origin,116,78,20,23.33222
2026-08-14 14:41:45,origin,114,14,-24,25.15539
2026-08-14 14:44:20,origin,0.1,240,320,118978.2
2026-08-14 14:44:43,origin,117,14,-16,22.44372
2026-08-14 14:45:48,max_distance,94,22,-14,47.60102
2026-08-14 14:46:15,max_distance,114,18,-16,25.15539
2026-08-14 14:46:20,origin,118,16,-14,21.57008
2026-08-19 16:53:43,origin,0.1,240,320,94065.73
2026-08-21 16:10:56,origin,279.5256,4,58,-49.17501
2026-08-21 16:12:00,origin,279.4256,4,61,-49.16143
2026-08-21 16:23:53,origin,159,-62,46,-21.85877
2026-08-21 16:32:08,origin,105.1729,0,131,9.219593
2026-08-26 10:48:55,origin,0.1,240,320,94065.73
2026-08-26 10:48:56,origin,0.1,240,320,94065.73
2026-08-26 10:48:58,origin,0.1,240,320,94065.73
2026-08-26 10:49:00,origin,0.1,240,320,94065.73
2026-08-26 12:12:58,origin,169.0532,-28,9,-23.52578
2026-08-26 12:18:47,origin,170.8139,-60,41,-24.12541
2026-08-26 12:18:56,origin,133.7057,-37,39,-8.292137
2026-08-26 12:19:02,origin,133.6834,-37,38,-8.280083
2026-08-26 12:19:04,origin,133.6959,-37,38,-8.286842
2026-08-26 12:19:09,origin,133.5309,-38,38,-8.197426
2026-08-26 12:19:13,max_distance,133.9164,-37,39,-8.405937
2026-08-26 12:19:16,max_distance,133.7347,-37,39,-8.307793
2026-08-26 12:19:18,max_distance,133.6496,-37,39,-8.261787
2026-08-26 12:19:29,max_distance,100.4475,-19,32,15.49818
2026-08-26 12:19:33,max_distance,100.5294,-20,33,15.42062
2026-08-26 12:19:36,max_distance,100.5803,-19,33,15.3725
2026-08-26 12:19:38,max_distance,100.6466,-19,33,15.30991
2026-08-26 12:19:40,max_distance,100.6316,-19,33,15.32406
2026-08-26 12:19:43,max_distance,100.4315,-19,32,15.51333
2026-08-26 12:19:45,max_distance,100.4254,-19,32,15.51913
2026-08-26 12:24:39,max_distance,133.4619,-36,39,-8.160004
2026-08-26 12:24:43,max_distance,133.7199,-37,39,-8.299797
2026-08-26 12:24:44,max_distance,133.7712,-37,39,-8.327538
2026-08-26 12:24:45,max_distance,133.415,-37,39,-8.134521
2026-08-26 12:24:47,max_distance,133.4204,-37,38,-8.137459
2026-08-26 12:24:55,max_distance,100.1867,-19,32,15.74588
2026-08-26 12:24:56,max_distance,100.0638,-19,33,15.86307
2026-08-26 12:24:58,max_distance,100.0445,-19,33,15.88144
2026-08-26 12:24:59,max_distance,100.1439,-19,33,15.78667
2026-08-26 12:25:01,max_distance,100.1958,-19,33,15.73718
2026-08-26 12:31:04,origin,167.5437,-55,45,0.6600266
